NAMESPACE            NAME                                                 ROLE                                                  AGE
dev-team             developer-binding                                    Role/developer-role                                   11m
ingress-nginx        ingress-nginx                                        Role/ingress-nginx                                    3h20m
kube-public          system:controller:bootstrap-signer                   Role/system:controller:bootstrap-signer               33h
kube-system          k3s-cloud-controller-manager-authentication-reader   Role/extension-apiserver-authentication-reader        33h
kube-system          metrics-server-auth-reader                           Role/extension-apiserver-authentication-reader        74m
kube-system          system::extension-apiserver-authentication-reader    Role/extension-apiserver-authentication-reader        33h
kube-system          system::leader-locking-kube-controller-manager       Role/system::leader-locking-kube-controller-manager   33h
kube-system          system::leader-locking-kube-scheduler                Role/system::leader-locking-kube-scheduler            33h
kube-system          system:controller:bootstrap-signer                   Role/system:controller:bootstrap-signer               33h
kube-system          system:controller:cloud-provider                     Role/system:controller:cloud-provider                 33h
kube-system          system:controller:token-cleaner                      Role/system:controller:token-cleaner                  33h
local-path-storage   local-path-provisioner-bind                          Role/local-path-provisioner-role                      6h53m
metallb-system       controller                                           Role/controller                                       3h28m
metallb-system       pod-lister                                           Role/pod-lister                                       3h28m
