NAMESPACE            NAME                                          AGE
default              default                                       33h
dev-team             default                                       15m
dev-team             developer                                     14m
ingress-nginx        default                                       3h20m
ingress-nginx        ingress-nginx                                 3h20m
kube-node-lease      default                                       33h
kube-public          default                                       33h
kube-system          attachdetach-controller                       33h
kube-system          certificate-controller                        33h
kube-system          clusterrole-aggregation-controller            33h
kube-system          coredns                                       33h
kube-system          cronjob-controller                            33h
kube-system          daemon-set-controller                         33h
kube-system          default                                       33h
kube-system          deployment-controller                         33h
kube-system          device-taint-eviction-controller              33h
kube-system          disruption-controller                         33h
kube-system          endpoint-controller                           33h
kube-system          endpointslice-controller                      33h
kube-system          endpointslicemirroring-controller             33h
kube-system          ephemeral-volume-controller                   33h
kube-system          expand-controller                             33h
kube-system          generic-garbage-collector                     33h
kube-system          horizontal-pod-autoscaler                     33h
kube-system          job-controller                                33h
kube-system          legacy-service-account-token-cleaner          33h
kube-system          metrics-server                                74m
kube-system          namespace-controller                          33h
kube-system          node-controller                               33h
kube-system          persistent-volume-binder                      33h
kube-system          pod-garbage-collector                         33h
kube-system          pv-protection-controller                      33h
kube-system          pvc-protection-controller                     33h
kube-system          replicaset-controller                         33h
kube-system          replication-controller                        33h
kube-system          resource-claim-controller                     33h
kube-system          resourcequota-controller                      33h
kube-system          root-ca-cert-publisher                        33h
kube-system          service-account-controller                    33h
kube-system          service-cidrs-controller                      33h
kube-system          statefulset-controller                        33h
kube-system          token-cleaner                                 33h
kube-system          ttl-after-finished-controller                 33h
kube-system          ttl-controller                                33h
kube-system          validatingadmissionpolicy-status-controller   33h
kube-system          volumeattributesclass-protection-controller   33h
local-path-storage   default                                       6h53m
local-path-storage   local-path-provisioner-service-account        6h53m
longhorn-system      default                                       7h31m
metallb-system       controller                                    3h28m
metallb-system       default                                       3h29m
metallb-system       speaker                                       3h28m
